ID,ploidy,timepoint,treatment,ATPase
M51,D,20,control,7.96
M52,D,20,control,6.56
M53,D,20,control,5.38
M54,D,20,control,4.25
M55,D,20,control,9.38
M56,D,20,control,9.07
M57,D,20,control,6.92
M58,D,20,control,7
M59,D,20,control,5.29
M60,D,20,control,6.62
M61,D,20,control,6.16
M62,D,20,control,5.15
D54,D,0,control,3.49
D55,D,0,control,4.24
D56,D,0,control,6.01
D57,D,0,control,3.62
D58,D,0,control,3.71
D59,D,0,control,8.08
M45,D,0,control,8.73
M46,D,0,control,8.1
M48,D,0,control,4.52
M49,D,0,control,3.7
M50,D,0,control,2.84
M89,D,0,control,3.87
M90,D,0,control,3.76
P01,D,20,MS,5.48
P02,D,20,MS,2.78
P03,D,20,MS,3.8
P04,D,20,MS,2.89
P05,D,20,MS,2.83
P06,D,20,MS,4.32
P07,D,20,MS,2.14
P08,D,20,MS,1.8
P09,D,20,MS,2.06
P10,D,20,MS,1.18
N48,D,12,MS,2.08
N49,D,12,MS,1.42
N50,D,12,MS,1.59
N51,D,12,MS,1.98
N52,D,12,MS,1.82
N53,D,12,MS,2.15
N54,D,12,MS,1.37
N55,D,12,MS,2.1
N56,D,12,MS,0.63
N57,D,12,MS,1.75
N58,D,12,MS,1.91
N59,D,12,MS,2
N60,D,15,MS,1.91
N63,D,15,MS,2.66
N64,D,15,MS,0.29
N65,D,15,MS,1.98
N66,D,15,MS,0.44
N67,D,15,MS,1.52
N68,D,15,MS,1.84
N69,D,15,MS,2.32
N70,D,15,MS,0.23
N71,D,15,MS,2.1
N73,D,15,MS,1.83
N74,D,15,MS,2.7
N75,D,15,MS,1.34
M41,D,11,SS,3
M42,D,11,SS,3.01
M43,D,11,SS,2.61
M44,D,11,SS,4.21
M47,D,11,SS,4.54
N41,D,11,SS,3.7
N42,D,11,SS,3.45
N43,D,11,SS,2.52
N44,D,11,SS,3.31
N45,D,11,SS,3.36
N46,D,11,SS,3.23
N47,D,11,SS,3.26
Q11,D,20,SS,2.01
Q12,D,20,SS,1.72
Q13,D,20,SS,3.38
Q14,D,20,SS,2.5
Q15,D,20,SS,2.73
Q16,D,20,SS,2.27
Q17,D,20,SS,1.7
Q18,D,20,SS,1.19
Q19,D,20,SS,1.4
Q20,D,20,SS,2.41
Q01,D,15,SS,2.28
Q02,D,15,SS,1.76
Q03,D,15,SS,2.43
Q04,D,15,SS,1.67
Q05,D,15,SS,2.52
Q06,D,15,SS,2.35
Q07,D,15,SS,2.13
Q08,D,15,SS,1.95
Q09,D,15,SS,2.59
Q10,D,15,SS,2.82
X49,T,20,control,5.01
X50,T,20,control,6.49
X51,T,20,control,5.45
X52,T,20,control,4.73
X53,T,20,control,6.5
X54,T,20,control,4.41
X55,T,20,control,5.64
X56,T,20,control,6.67
X57,T,20,control,6.27
X58,T,20,control,5.97
X59,T,20,control,4.09
X60,T,20,control,6.09
T55,T,0,control,6.21
T56,T,0,control,4.63
T57,T,0,control,4.21
T58,T,0,control,6.7
T59,T,0,control,7.92
T60,T,0,control,3.44
T61,T,0,control,4.48
T62,T,0,control,6.02
X45,T,0,control,6.98
X46,T,0,control,4.28
X47,T,0,control,2.19
X48,T,0,control,2.59
G01,T,20,MS,3.59
G02,T,20,MS,1.16
G03,T,20,MS,2.44
G04,T,20,MS,2.65
G05,T,20,MS,1.43
G06,T,20,MS,2.05
G07,T,20,MS,1.43
G08,T,20,MS,2.15
G09,T,20,MS,1.7
G10,T,20,MS,1.68
R51,T,12,MS,0.02
R52,T,12,MS,0.15
R53,T,12,MS,0
R54,T,12,MS,0.06
R55,T,12,MS,0.24
R56,T,12,MS,0.13
R57,T,12,MS,1.58
R58,T,12,MS,0.83
R59,T,12,MS,1.38
R60,T,12,MS,1.5
R61,T,12,MS,1.09
R62,T,12,MS,1.53
R63,T,15,MS,0.99
R64,T,15,MS,1.29
R65,T,15,MS,0.75
R67,T,15,MS,1.68
R68,T,15,MS,1.41
R69,T,15,MS,2.5
R70,T,15,MS,2.07
R71,T,15,MS,1.61
R72,T,15,MS,0.24
R73,T,15,MS,1.83
R74,T,15,MS,1.43
R75,T,15,MS,1.39
R41,T,11,SS,1.83
R42,T,11,SS,1.93
R43,T,11,SS,3.62
R46,T,11,SS,5.19
R47,T,11,SS,2.29
R48,T,11,SS,3.39
R50,T,11,SS,3.02
R78,T,11,SS,3.65
X41,T,11,SS,2.17
X42,T,11,SS,2.79
X43,T,11,SS,4.01
X44,T,11,SS,2.67
W11,T,20,SS,1.5
W12,T,20,SS,2.25
W13,T,20,SS,2.85
W14,T,20,SS,2.42
W15,T,20,SS,3.9
W16,T,20,SS,1.39
W17,T,20,SS,2.78
W18,T,20,SS,2.44
W19,T,20,SS,2.12
W20,T,20,SS,2.28
W01,T,15,SS,1.22
W02,T,15,SS,1.22
W03,T,15,SS,1.16
W04,T,15,SS,0.89
W05,T,15,SS,1.42
W06,T,15,SS,1.65
W07,T,15,SS,1.35
W08,T,15,SS,1.32
W09,T,15,SS,2.55
W10,T,15,SS,1.32
