"response" "groups"
"20.control.D" 1.53929187558549 "a"
"20.control.T" 1.14233224782151 "ab"
"0.control.D" 0.988571351134778 "ab"
"0.control.T" 0.943160900468025 "abc"
"11.SS.D" 0.429538746961425 "bcd"
"11.SS.T" 0.241556021665978 "cde"
"20.MS.D" 0.107461150261211 "def"
"20.SS.T" -0.103307498949807 "defg"
"15.SS.D" -0.151730484396301 "defg"
"20.SS.D" -0.316224974372012 "defgh"
"20.MS.T" -0.40557454638581 "efgh"
"12.MS.D" -0.592648420204549 "fgh"
"15.MS.D" -0.669881859954704 "gh"
"15.MS.T" -0.887058931106521 "ghi"
"15.SS.T" -0.992743275615193 "hi"
"12.MS.T" -1.60936780403093 "i"
